Formatted Date,Summary,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars)
2006-04-01 00:00:00.000 +0200,Partly Cloudy,9.472222222,7.388888889,0.89,14.1197,251,15.8263,1015.13
2006-04-01 08:00:00.000 +0200,Partly Cloudy,10.82222222,10.82222222,0.82,11.3183,259,9.982,1017.37
2006-04-01 16:00:00.000 +0200,Partly Cloudy,15.38888889,15.38888889,0.6,14.4095,251,11.27,1016.15
2006-04-10 00:00:00.000 +0200,Partly Cloudy,10.42222222,10.42222222,0.62,16.9855,150,15.8263,1014.4
2006-04-10 08:00:00.000 +0200,Mostly Cloudy,9.872222222,7.933333333,0.78,13.7494,160,9.982,1014.24
2006-04-10 16:00:00.000 +0200,Mostly Cloudy,20.11666667,20.11666667,0.4,25.3092,162,9.982,1009.83
2006-04-11 00:00:00.000 +0200,Overcast,13.77222222,13.77222222,0.6,17.0982,160,15.8263,1007.36
2006-04-11 08:00:00.000 +0200,Partly Cloudy,12.16666667,12.16666667,0.82,9.9015,113,10.6743,1005.97
2006-04-11 16:00:00.000 +0200,Mostly Cloudy,15.63333333,15.63333333,0.81,23.6992,348,10.8836,1004.04
2006-04-12 00:00:00.000 +0200,Foggy,8.2,5.072222222,0.96,20.447,341,3.1073,1004.8
2006-04-12 08:00:00.000 +0200,Breezy and Mostly Cloudy,6.144444444,1.494444444,0.93,30.8637,349,10.5455,1004.1
2006-04-12 16:00:00.000 +0200,Overcast,10.11666667,10.11666667,0.76,25.3414,311,11.27,1004
2006-04-13 00:00:00.000 +0200,Mostly Cloudy,7.316666667,6.211111111,0.75,6.6654,326,15.8746,1007.07
2006-04-13 08:00:00.000 +0200,Overcast,6.172222222,2.922222222,0.76,17.0499,307,9.982,1008.57
2006-04-13 16:00:00.000 +0200,Overcast,9.05,9.05,0.65,3.2522,177,11.2056,1009.98
2006-04-14 00:00:00.000 +0200,Mostly Cloudy,6.622222222,4.111111111,0.85,12.719,142,14.9086,1012.22
2006-04-14 08:00:00.000 +0200,Mostly Cloudy,7.794444444,6.055555556,0.87,9.7566,240,10.6743,1014.7
2006-04-14 16:00:00.000 +0200,Partly Cloudy,16.25,16.25,0.55,14.7154,211,11.27,1012.72
2006-04-15 00:00:00.000 +0200,Mostly Cloudy,10.44444444,10.44444444,0.83,2.6404,63,15.8746,1014.75
2006-04-15 08:00:00.000 +0200,Partly Cloudy,9.65,7.383333333,0.84,15.9551,289,9.982,1019.24
2006-04-15 16:00:00.000 +0200,Mostly Cloudy,17.77777778,17.77777778,0.37,2.5921,351,11.2056,1018.89
2006-04-16 00:00:00.000 +0200,Overcast,12.26666667,12.26666667,0.69,14.1358,151,15.8263,1016.8
2006-04-16 08:00:00.000 +0200,Mostly Cloudy,11.43888889,11.43888889,0.77,13.8782,163,10.3523,1013.56
2006-04-16 16:00:00.000 +0200,Overcast,17.8,17.8,0.59,17.6939,281,11.27,1010.52
2006-04-17 00:00:00.000 +0200,Mostly Cloudy,11.18333333,11.18333333,0.93,6.923,241,15.8263,1012.6
2006-04-17 08:00:00.000 +0200,Partly Cloudy,13.53888889,13.53888889,0.75,11.8657,305,9.982,1013.23
2006-04-17 16:00:00.000 +0200,Partly Cloudy,17.31111111,17.31111111,0.57,20.3343,310,11.27,1011.81
2006-04-18 00:00:00.000 +0200,Partly Cloudy,9.522222222,7.861111111,0.88,11.27,280,11.9784,1012.52
2006-04-18 08:00:00.000 +0200,Partly Cloudy,11.99444444,11.99444444,0.81,2.415,345,9.6117,1013.38
2006-04-18 16:00:00.000 +0200,Partly Cloudy,19.00555556,19.00555556,0.55,4.8139,9,11.2056,1011.7
2006-04-19 00:00:00.000 +0200,Overcast,14.37222222,14.37222222,0.75,6.5366,67,15.8263,1011.83
2006-04-19 08:00:00.000 +0200,Mostly Cloudy,12.18333333,12.18333333,0.82,12.3809,11,11.0768,1010.21
2006-04-19 16:00:00.000 +0200,Mostly Cloudy,17.82777778,17.82777778,0.69,14.6188,19,11.2056,1009.47
2006-04-02 00:00:00.000 +0200,Mostly Cloudy,9.555555556,8.85,0.8,6.4883,146,15.8263,1015.68
2006-04-02 08:00:00.000 +0200,Partly Cloudy,9.977777778,8.994444444,0.84,8.0017,151,11.0285,1014.82
2006-04-02 16:00:00.000 +0200,Partly Cloudy,17.72222222,17.72222222,0.53,8.6779,113,11.27,1013.45
2006-04-20 00:00:00.000 +0200,Partly Cloudy,11.82777778,11.82777778,0.92,3.0268,311,15.8263,1011.68
2006-04-20 08:00:00.000 +0200,Foggy,11.24444444,11.24444444,0.98,2.7531,358,0.6923,1013.9
2006-04-20 16:00:00.000 +0200,Overcast,15.02777778,15.02777778,0.86,7.7119,139,7.2772,1014.37
2006-04-21 00:00:00.000 +0200,Mostly Cloudy,11.52777778,11.52777778,0.96,3.1556,358,4.508,1016.43
2006-04-21 08:00:00.000 +0200,Foggy,12.63333333,12.63333333,0.96,7.6636,7,2.3506,1016.94
2006-04-21 16:00:00.000 +0200,Mostly Cloudy,15.27222222,15.27222222,0.76,8.2754,85,11.27,1016.6
2006-04-22 00:00:00.000 +0200,Foggy,9.883333333,9.883333333,0.96,3.3649,349,1.0626,1017.65
2006-04-22 08:00:00.000 +0200,Foggy,11.17777778,11.17777778,0.93,2.8819,285,2.5599,1017.7
2006-04-22 16:00:00.000 +0200,Partly Cloudy,20.07222222,20.07222222,0.56,9.4829,2,11.27,1015.29
2006-04-23 00:00:00.000 +0200,Clear,10.55555556,10.55555556,0.95,6.0375,290,14.812,1015.83
2006-04-23 08:00:00.000 +0200,Partly Cloudy,14.51666667,14.51666667,0.84,1.7066,129,9.5473,1016.23
2006-04-23 16:00:00.000 +0200,Partly Cloudy,22.77777778,22.77777778,0.37,5.1842,90,10.0464,1014.7
2006-04-24 00:00:00.000 +0200,Partly Cloudy,11.11666667,11.11666667,0.95,3.1717,268,6.2951,1017.04
2006-04-24 08:00:00.000 +0200,Clear,14.83888889,14.83888889,0.82,2.6565,193,8.3398,1019.08
2006-04-24 16:00:00.000 +0200,Partly Cloudy,23.93333333,23.93333333,0.37,4.347,178,9.982,1018.6
2006-04-25 00:00:00.000 +0200,Clear,12.71111111,12.71111111,0.89,3.2522,169,15.8263,1020.11
