Vendor Name,Model Name,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP,ERP
amdahl,470v/7,29.00,8000.00,32000.00,32.00,8.00,32.00,269.00,253.00
adviser,32/60,125.00,256.00,6000.00,256.00,16.00,128.00,198.00,199.00
amdahl,470v/7a,29.00,8000.00,32000.00,32.00,8.00,32.00,220.00,253.00
amdahl,470v/7b,29.00,8000.00,32000.00,32.00,8.00,32.00,172.00,253.00
amdahl,470v/7c,29.00,8000.00,16000.00,32.00,8.00,16.00,132.00,132.00
amdahl,470v/b,26.00,8000.00,32000.00,64.00,8.00,32.00,318.00,290.00
amdahl,580-5840,23.00,16000.00,32000.00,64.00,16.00,32.00,367.00,381.00
amdahl,580-5850,23.00,16000.00,32000.00,64.00,16.00,32.00,489.00,381.00
amdahl,580-5860,23.00,16000.00,64000.00,64.00,16.00,32.00,636.00,749.00
amdahl,580-5880,23.00,32000.00,64000.00,128.00,32.00,64.00,1144.00,1238.00
apollo,dn320,400.00,1000.00,3000.00,0.00,1.00,2.00,38.00,23.00
apollo,dn420,400.00,512.00,3500.00,4.00,1.00,6.00,40.00,24.00
basf,7/65,60.00,2000.00,8000.00,65.00,1.00,8.00,92.00,70.00
basf,7/68,50.00,4000.00,16000.00,65.00,1.00,8.00,138.00,117.00
bti,5000,350.00,64.00,64.00,0.00,1.00,4.00,10.00,15.00
bti,8000,200.00,512.00,16000.00,0.00,4.00,32.00,35.00,64.00
burroughs,b1955,167.00,524.00,2000.00,8.00,4.00,15.00,19.00,23.00
burroughs,b2900,143.00,512.00,5000.00,0.00,7.00,32.00,28.00,29.00
burroughs,b2925,143.00,1000.00,2000.00,0.00,5.00,16.00,31.00,22.00
burroughs,b4955,110.00,5000.00,5000.00,142.00,8.00,64.00,120.00,124.00
burroughs,b5900,143.00,1500.00,6300.00,0.00,5.00,32.00,30.00,35.00
burroughs,b5920,143.00,3100.00,6200.00,0.00,5.00,20.00,33.00,39.00
burroughs,b6900,143.00,2300.00,6200.00,0.00,6.00,64.00,61.00,40.00
burroughs,b6925,110.00,3100.00,6200.00,0.00,6.00,64.00,76.00,45.00
c.r.d,68/10-80,320.00,128.00,6000.00,0.00,1.00,12.00,23.00,28.00
c.r.d,universe:2203t,320.00,512.00,2000.00,4.00,1.00,3.00,69.00,21.00
c.r.d,universe:68,320.00,256.00,6000.00,0.00,1.00,6.00,33.00,28.00
