Player ID,Player,Team,Number of Agents Played,Rounds Played,KD,Rating
1,Demon1,EG,4,459,1.39,1.23
2,keznit,KRÜ,2,90,1.13,1.19
3,Leo,FNC,3,270,1.37,1.17
4,Alfajer,FNC,3,270,1.39,1.17
5,Less,LOUD,2,515,1.21,1.16
6,AAAAY,FPX,2,85,1.33,1.15
7,aspas,LOUD,2,515,1.26,1.15
8,Cloud,GIA,2,161,1.11,1.14
9,cauanzin,LOUD,3,515,1.12,1.13
10,MrFaliN,FUT,5,216,1.12,1.11
11,Victor,NRG,3,130,1.07,1.11
12,SUYGETSU,NAVI,3,204,1.2,1.1
13,jawgemo,EG,3,459,1.11,1.1
14,d4v41,PRX,4,358,1.07,1.08
15,cNed,NAVI,5,204,1.21,1.08
16,something,PRX,3,358,1.1,1.08
17,s0m,NRG,4,130,1.07,1.08
18,Sayaplayer,T1,2,129,1.12,1.08
19,whzy,BLG,2,237,1.17,1.08
20,CHICHOO,EDG,3,358,1.04,1.07
21,Ethan,EG,4,459,1,1.07
22,Derke,FNC,2,270,1.14,1.06
23,MaKo,DRX,2,283,0.97,1.06
24,C0M,EG,2,459,1.12,1.06
25,Yosemite,BLG,2,237,1.04,1.05
26,Sayf,TL,3,92,1.01,1.04
27,hoody,GIA,5,161,1,1.04
28,ardiis,NRG,3,130,1.13,1.04
29,Fit1nho,GIA,2,161,1.02,1.04
30,DaveeyS,KRÜ,2,90,1.12,1.03
31,tuyz,LOUD,4,515,0.96,1.02
32,Shao,NAVI,4,204,0.98,1.02
33,AtaKaptan,FUT,2,216,0.88,1.01
34,saadhak,LOUD,5,515,0.87,1.01
35,Zest,DRX,2,283,0.98,1
36,mindfreak,PRX,4,358,0.97,1
37,f0rsakeN,PRX,5,358,1,1
38,ZmjjKK,EDG,4,358,1.05,0.99
39,Jinggg,PRX,2,358,1.02,0.99
40,BuZz,DRX,2,283,1.02,0.99
41,Chronicle,FNC,3,270,0.89,0.98
42,nAts,TL,2,92,1.09,0.98
43,qRaxs,FUT,2,216,0.94,0.98
44,Boaster,FNC,3,270,0.9,0.98
45,rhyme,GIA,4,161,0.83,0.97
46,crashies,NRG,2,130,1.01,0.97
47,nobody,EDG,3,358,0.93,0.97
48,MOJJ,FUT,2,216,0.93,0.97
49,Munchkin,T1,3,129,0.93,0.96
50,stax,DRX,4,283,0.92,0.95
51,xeta,T1,2,129,0.94,0.95
52,Smoggy,EDG,4,358,0.98,0.94
53,Zyppan,NAVI,3,204,0.88,0.93
54,Boostio,EG,4,459,0.87,0.93
55,Dep,ZETA,2,79,1.08,0.93
56,Lysoar,FPX,2,85,0.95,0.92
57,FiNESSE,NRG,2,130,0.72,0.91
58,Biank,BLG,3,237,0.89,0.9
59,Knight,BLG,4,237,0.91,0.9
60,Haodong,EDG,3,358,0.83,0.89
61,Yuicaw,FPX,2,85,0.87,0.89
62,Rb,DRX,2,283,0.85,0.89
63,nukkye,GIA,2,161,0.88,0.89
64,qw1,FUT,2,216,0.93,0.88
65,ban,T1,2,129,0.82,0.85
66,ANGE1,NAVI,3,204,0.75,0.84
67,NagZ,KRÜ,1,90,0.72,0.83
68,rin,BLG,3,237,0.73,0.82
69,soulcas,TL,2,92,0.76,0.82
70,Klaus,KRÜ,1,90,0.71,0.79
71,Redgar,TL,3,92,0.69,0.76
72,nizhaoTZH,FPX,3,85,0.71,0.76
73,Melser,KRÜ,3,90,0.64,0.75
74,Jamppi,TL,4,92,0.85,0.72
75,Carpe,T1,4,129,0.68,0.72
76,BerLIN,FPX,3,85,0.6,0.71
77,SugarZ3ro,ZETA,2,79,0.66,0.67
78,Laz,ZETA,2,79,0.8,0.66
79,TENNN,ZETA,1,79,0.67,0.62
80,crow,ZETA,2,79,0.48,0.51
